transaction_id,date,amount,currency,transaction_type,sender_account,receiver_account,transaction_status,transaction_category,payment_method,fees,notes
4d8b6a6f-fc56-45dc-ba21-579c6e87e2db,2026-03-05,325.73,"('SOS', 'Somali shilling')",Deposit,18f95d46-930e-42d2-8d34-05b757f29eac,,Completed,Travel,Cryptocurrency,6.27,Present thing that big.
2b44060d-1ca2-478e-9ad2-638886d5e667,2026-01-26,230.34,"('BBD', 'Barbadian dollar')",Withdrawal,757ae622-7d8e-4809-baa4-fe3ddb58c464,,Completed,Food & Drink,Cryptocurrency,4.09,Style week table respond ever society.
b01ce0cf-3b88-4a12-907d-10a7815b1d1c,2026-02-03,571.9,"('KZT', 'Kazakhstani tenge')",Withdrawal,70b9f355-4fc7-4aba-ab7c-4b0205a97b80,b8ed1d6e-009f-4c7a-970c-349b6caad106,Pending,Travel,Credit Card,6.1,Agree bar child.
5c640712-deeb-47b5-be4e-536240f466c0,2026-02-06,208.6,"('INR', 'Indian rupee')",Deposit,ffb8aae6-e1f3-40b1-96a6-3ef0e413d730,927d8635-f578-4d4f-a511-bfa322169d1e,Completed,Bills,Bank Transfer,2.03,Minute impact computer success possible.
fc5528b2-10bd-4c40-aaaf-d843016046df,2026-01-23,901.63,"('EUR', 'Euro')",Deposit,72ce5c36-870f-473f-b8b3-6fd78128d8c2,43f63f4b-173d-42b9-b521-aa4131ee6f74,Completed,Electronics,Bank Transfer,7.81,Himself husband score.
2770e9e6-bc8a-436f-ae1d-932113049406,2026-01-24,11.17,"('SLL', 'Sierra Leonean leone')",Transfer,9c55eac9-7db9-4a3f-b227-c986cc5e47f6,,Completed,Food & Drink,Cryptocurrency,8.84,Local inside attorney heart scientist.
a686afd6-888d-4be9-8126-75c3ccfa9122,2026-02-07,392.83,"('LYD', 'Libyan dinar')",Deposit,21d961bb-aab8-49b9-864f-6ba8d7fb64bb,,Pending,Food & Drink,Credit Card,7.44,Sort to own.
9187e9d6-ec69-4b39-b943-663f2104b736,2026-01-17,175.58,"('BRL', 'Brazilian real')",Withdrawal,6719e6ec-f4af-42ae-ba54-84f4dceb256c,,Pending,Travel,PayPal,2.61,Manage author soldier grow why sport.
62e15b16-25a9-4dbd-8933-c4e9249da5d3,2026-02-28,717.0,"('CZK', 'Czech koruna')",Withdrawal,b8d54773-6ce8-491a-87d9-068032320c71,f82bfee6-f48b-45e1-8cb2-61e3f929ef37,Completed,Bills,PayPal,1.25,Leader push grow trade field improve.
bdf079cf-b901-4292-90b7-8f9d52a33001,2026-02-24,183.22,"('KZT', 'Kazakhstani tenge')",Deposit,8a5ed479-25c6-45cf-9dda-1099ed4d1b13,6052969b-f813-45dc-b0e7-22642a08f1f1,Failed,Travel,PayPal,5.23,Blue member able phone certainly.
d284fb63-0968-4f58-a7f0-30466aa71905,2026-03-02,721.11,"('MDL', 'Moldovan leu')",Deposit,0350e29c-f242-48d8-842e-808ecc4737c6,bf609d79-5b3c-4800-9fc7-2d5a40c11654,Pending,Travel,Debit Card,6.63,Dark training top.
d3ec5185-4d6d-4ae8-a42b-16b4f0e52cb3,2026-02-21,504.74,"('BND', 'Brunei dollar')",Deposit,20f31289-b6c5-4517-85e7-16be2b8b1747,51feb603-413c-40d7-80ff-21efd7317052,Completed,Travel,Cryptocurrency,2.5,Station space respond oil government.
39761b39-9659-4e0b-9586-9e4586518bd1,2026-01-15,778.82,"('VND', 'Vietnamese đồng')",Transfer,85ac8664-b4e4-42d5-b000-6147a2986f66,,Completed,Bills,Debit Card,1.24,Evidence forward smile last.
999ee0b2-39e9-4131-9520-171659451b92,2026-01-07,900.01,"('PHP', 'Philippine peso')",Withdrawal,246114a5-4a6d-4213-8400-68f46b555dab,0c93103a-1c92-40c6-91a4-605dbda699d7,Completed,Travel,PayPal,1.33,Ready challenge any thus low.
8c19de6f-0d5c-4c5b-9475-b544a7b78989,2026-01-29,944.04,"('MWK', 'Malawian kwacha')",Transfer,864c54eb-bb09-4508-b26f-a48df170608e,,Completed,Bills,Debit Card,1.88,Week job couple something gas listen.
1c8188ce-91b3-4f51-b1a7-2d97716a199f,2026-03-05,710.85,"('GGP', 'Guernsey pound')",Withdrawal,0b5680e7-af39-45a8-8215-2a3446aa1ba9,a8342228-dbf7-49ef-9e47-2c298bacadb2,Pending,Travel,Bank Transfer,5.75,Develop others cup air table different.
6d6ca269-6fa3-4152-8034-422fa9d7391e,2026-02-26,299.64,"('ANG', 'Netherlands Antillean guilder')",Deposit,ff649d41-6182-4bdb-8403-6fdf081c985a,,Completed,Bills,Debit Card,1.62,Section red down director stop activity.
1d4027d0-19bb-4e21-b730-e9628642e27b,2026-01-20,654.41,"('GHS', 'Ghanaian cedi')",Withdrawal,53c8e3dd-cca5-4c48-acc1-5bf37e3ce32a,,Pending,Electronics,Bank Transfer,7.26,Thousand customer yourself identify computer.
38dcb765-b0f6-4680-adb6-52038438ec11,2026-01-10,178.62,"('SZL', 'Swazi lilangeni')",Deposit,272fc771-657e-4736-a036-195515cb21ef,10dc45da-406c-4885-aeb5-8d9c5f0d3f75,Pending,Other,Cryptocurrency,1.56,Structure thus nothing along rise west.
7696130b-a8a6-4110-98ce-170696070b9c,2026-03-05,498.35,"('LYD', 'Libyan dinar')",Deposit,ba164b96-fd88-43dd-8e73-ddcc6c8425f9,5274cf93-bc80-4961-b1d4-a32ad5348c47,Completed,Health,Credit Card,2.81,Let cause budget few discuss.
4b650706-ab93-45e9-bca5-4870bb019d01,2026-01-16,31.49,"('SLL', 'Sierra Leonean leone')",Deposit,3a217937-c1b6-429f-a3a4-7b90aceb0380,cb57a282-6cae-4f90-905c-a5ad84928f71,Pending,Bills,Debit Card,8.14,Cost wear figure season off when.
40d77b50-ac58-417d-b0dc-b91f680fd802,2026-02-22,900.49,"('SCR', 'Seychellois rupee')",Transfer,1b868147-b472-4063-8138-db70947ad545,,Cancelled,Other,Credit Card,5.89,Talk return avoid public lead interest.
2e7c2ba4-e87a-4247-a010-4e2cd953133c,2026-03-05,659.94,"('HTG', 'Haitian gourde')",Deposit,2040a159-329f-4db8-a870-1ec85e821df7,ca00999d-307a-4994-9755-2779f8f15701,Completed,Electronics,Credit Card,3.75,Product still experience law.
cb68446c-1584-4ea4-b90a-3228c46f691f,2026-01-20,859.29,"('GEL', 'Georgian lari')",Deposit,88dff72a-c987-4219-9f55-1b1c4cf94e2e,,Failed,Food & Drink,Bank Transfer,5.14,Different art area TV.
079e16d4-34ba-4452-9db8-56df3c1b2671,2026-01-26,12.27,"('GTQ', 'Guatemalan quetzal')",Withdrawal,4bc10825-3314-48bc-97e5-4407e038f87a,cf3cb73a-543f-42cd-8930-ce820bd071cc,Pending,Other,Credit Card,7.88,Over drug since leg fear.
9bf5f32b-f579-47b0-93f8-4c6741f35973,2026-01-14,153.23,"('BAM', 'Bosnia and Herzegovina convertible mark')",Deposit,0c490e3d-b5c0-4dc5-b4fe-d1ad623c8186,f65875b0-7edc-4f58-872c-74df6160fa59,Cancelled,Health,Bank Transfer,2.59,Subject third west public that.
b37e6414-e5d3-4013-bbeb-34788097ac72,2026-01-09,309.58,"('PKR', 'Pakistani rupee')",Transfer,196e935e-3a0d-4139-b8ca-5f523884bdb9,,Cancelled,Travel,Bank Transfer,3.24,Teacher time suggest.
0d6e0020-bfbf-467e-9130-3689786a22bd,2026-02-23,845.67,"('TOP', 'Tongan paʻanga')",Withdrawal,e167c0a3-85b5-4aab-a9b9-f3eea10efcba,b8bbf821-b563-4993-9e11-4fb5234a6627,Failed,Health,Cryptocurrency,1.13,Their field world wind.
886fa391-3d09-407a-8cf3-17a53eedc33a,2026-01-20,325.49,"('LRD', 'Liberian dollar')",Withdrawal,7bfa0e17-0c14-4eab-99e1-7fa16dcddce3,,Pending,Food & Drink,Credit Card,4.44,Forward world face save modern.
07a9d8bf-01c5-4545-a6d7-0f8432ed53c1,2026-02-21,372.29,"('TJS', 'Tajikistani somoni')",Deposit,11d13d25-b8f6-44f0-9970-5f6ab5922cb0,,Completed,Food & Drink,Debit Card,2.77,Probably money building.
677c8352-eb04-4342-b678-2643730150a9,2026-01-27,252.18,"('RWF', 'Rwandan franc')",Withdrawal,d6aa5160-6fd9-463d-ae44-5039779f0af6,,Failed,Health,Cryptocurrency,5.41,Have girl most foot.
d99e9f73-535d-4dcd-a2f0-d32d6fad9b62,2026-02-10,276.1,"('FKP', 'Falkland Islands pound')",Deposit,7801cc77-1181-4c82-90e4-ecb698fa787a,,Failed,Electronics,Credit Card,6.55,Serve foreign around type another east.
f08c35b1-860b-4597-ab15-498891608c16,2026-01-18,727.9,"('ERN', 'Eritrean nakfa')",Transfer,5c391edb-b8cc-449e-85ee-2a533cb2ef9f,,Failed,Other,Cryptocurrency,7.04,Something gas source ability scientist.
